"id_reservation","id_listing","id_guest","id_traveler","id_host","dim_cancellation_reason","ts_cancelled","ds"
"294F9FD9","134A0EB","1A18326","1A18326","209D6C9","other","1521911985",2018-03-24
"23A79AE3","14FCE52","7F2370","7F2370","99422DD","not_available","1525384466",2018-05-03
"25B8EBEE","1619043","6C19045","6C19045","A2FBC8","tns","1518185952",2018-02-09
"16BDAA78","12B67F8","FC5112","FC5112","839F766","unknown","1499293086",2017-07-05
"1203610E","E9A5BE","1847289","1847289","5965364","unknown","1494047132",2017-05-06
"307AFC77","13F98E7","104419B","104419B","3E61A3","uncomfortable_with_host","1529709658",2018-06-22
"264306DA","D7C3B4","32A3DFF","32A3DFF","4BCDC99","not_available","1519434763",2018-02-24
"371282F6","1750169","7CDE7B","7CDE7B","20D2797","accommodations_unnecessary","1535629703",2018-08-30
"38317D42","1ADEADC","4780AD8","4780AD8","CAF2891","travel_dates_changed","1537256287",2018-09-18
"23695C6A","13D9F1A","58FC19","58FC19","2AAF849","accommodations_unnecessary","1517841454",2018-02-05
"2EAC5EF2","10EA24A","B6F3FE3","B6F3FE3","BF1445","host_courtesy","1527524888",2018-05-28
"31DBFD86","13E48DB","B2612E6","B2612E6","8C9EA15","dislike_accomodations","1530765744",2018-07-05
"35558851","B0C7A7","B07154","B07154","30E35A","accidental_reservation","1533941899",2018-08-10
"36E45CB7","C247BB","4E5FC7","4E5FC7","1796D31","not_available","1535555659",2018-08-29
"2787C097","F1A341","218622D","218622D","38394BC","accommodations_unnecessary","1526456479",2018-05-16
"16AD9F87","E30B98","152899","152899","2FC478","accommodations_unnecessary","1499036359",2017-07-02
"2F5D90CC","278974","109640E","109640E","CA6804","not_available","1538177032",2018-09-28
"21FD2E07","1459D17","6FDFE6","6FDFE6","69ACC8D","extenuating_circumstance","1523361652",2018-04-10
"10B2671C","3C0A72","1793D83","1793D83","3E02A7","accommodations_unnecessary","1488198221",2017-02-27
"20F86531","D5A9BC","6D5CE1D","6D5CE1D","692F9A","accommodations_unnecessary","1516128862",2018-01-16
"376E2773","12E9116","3FA307","3FA307","662FA74","unknown","1539973235",2018-10-19
"20E67294","1301930","44491DC","44491DC","86A75E8","accommodations_unnecessary","1512640292",2017-12-07
"20A4348F","14E88D0","55030B0","55030B0","76646F7","unknown","1512245804",2017-12-02
"215A40CB","757E56","22DEE2","22DEE2","2EE8EF","other","1518883405",2018-02-17
"269FE47D","160E521","8AE068","8AE068","4AC27FE","accommodations_unnecessary","1519243641",2018-02-21
"27ABBDF6","1594278","99B9EA4","99B9EA4","88F1185","accidental_reservation","1520310072",2018-03-06
